Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.44596064090729,-1.36493408679962,-1.35471308231354,-1.54022777080536,-1.53007459640503,-1.50287592411041,-1.41931009292603,-1.49336087703705,-1.15226578712463,-1.18368434906006,-1.15493178367615
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,11,10,10,10,10,9,8,8,8
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,0.947867274284363,5.28846168518066,5.7142858505249,3.80952382087708,3.80952382087708,4.7619047164917,5.7142858505249,4.7619047164917,12.380952835083,12.2641506195068,13.6792449951172
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,0,0,0.476190477609634,0,0,0,1.42857146263123,0,4.7619047164917,4.71698093414307,6.13207530975342
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,9.95260620117188,12.5,12.8571424484253,10,9.5238094329834,9.5238094329834,11.9047622680664,10.4761905670166,20.9523811340332,20.2830181121826,20.7547168731689
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.15991984307766,0.16137632727623,0.161489844322205,0.165064543485641,0.162055894732475,0.154826998710632,0.154633209109306,0.157482549548149,0.182797357439995,0.173358500003815,0.173359021544456
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.40146291255951,-1.36164617538452,-1.39739489555359,-1.29146802425385,-1.38659679889679,-1.50175786018372,-1.5191125869751,-1.61153948307037,-1.67058789730072,-1.88003480434418,-1.98701369762421
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,8,8,8,8,8,8,8,7,6,6,6
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,6.16113758087158,7.21153831481934,6.66666650772095,7.61904764175415,7.14285707473755,7.14285707473755,6.66666650772095,5.2380952835083,5.2380952835083,1.88679242134094,1.41509437561035
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,0.473933637142181,1.92307686805725,1.42857146263123,4.2857141494751,3.33333325386047,1.42857146263123,1.42857146263123,1.42857146263123,0.952380955219269,0,0
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,14.6919431686401,16.3461532592773,14.7619047164917,18.5714282989502,15.2380952835083,11.9047622680664,12.380952835083,11.4285717010498,11.4285717010498,8.49056625366211,6.60377359390259
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.221870198845863,0.234368801116943,0.24326927959919,0.233129948377609,0.235358536243439,0.245759963989258,0.245669454336166,0.278917849063873,0.299894481897354,0.284960269927979,0.291137188673019
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.51934909820557,-2.41106843948364,-2.56262516975403,-2.6621561050415,-2.7949755191803,-2.75344133377075,-2.65253973007202,-2.702721118927,-2.51867604255676,-2.54495596885681,-2.48408055305481
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6,6,6,6,6,6,6,5,5,5,5
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,1.42180097103119,2.85714292526245,0.952380955219269,0.952380955219269,0.476190477609634,0.471698105335236,0.943396210670471,0.471698105335236,1.41509437561035,0.943396210670471,1.42180097103119
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,3.3175356388092,5.2380952835083,2.85714292526245,2.85714292526245,1.42857146263123,2.35849046707153,2.8301887512207,2.35849046707153,4.24528312683105,4.24528312683105,4.7393364906311
